Institution,Control,State,Category
Virginia Commonwealth University,Public,VA,<a href="https://together.vcu.edu/news/june3/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Virginia Tech,Public,VA,<a href="https://vt.edu/ready/fall2020_message.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Virginia Wesleyan University,Private,VA,<a href="https://www.vwu.edu/about/news-and-events/features/story/president-miller-announces-plans-to-reopen-in-person-august-26" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wabash College,Private,IN,<a href="https://www.wabash.edu/studentlife/coronaviruswabash" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wake Forest University,Private,NC,<a href="https://coronavirus.wfu.edu/frequently-asked-questions-faqs/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Walsh University,Private,OH,<a href="https://www.walsh.edu/news/2020/05/student-incentives.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Warren Wilson College,Private,NC,<a href="http://chronicle.com/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Washburn University,Public,KS,<a href="https://news.washburn.edu/in-person-classes-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Washington and Jefferson College,Private,PA,<a href="https://www.washjeff.edu/update-on-planning-for-future-of-covid-19/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Washington College,Private,MD,<a href="https://www.washcoll.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Washington State University,Public,WA,<a href="https://twitter.com/WSU_Cougar_Pres/status/1253405998267502592" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Washington University in St. Louis,Private,MO,<a href="https://emergency.wustl.edu/wp-content/uploads/2020/05/Message-to-university-community-5-27-20.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Washtenaw Community College,Public,MI,<a href="https://www.mlive.com/news/ann-arbor/2020/05/michigan-community-colleges-look-ahead-to-fall-enrollment-consider-hybrid-course-strategies.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Wayland Baptist University,Private,TX,<a href="https://www.wbu.edu/notification.htm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wayne State University,Public,MI,<a href="https://www.detroitnews.com/story/news/local/michigan/2020/04/23/um-hopes-students-campus-fall-wayne-state-michigan-state-lean-online/3013230001/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Waynesburg University,Private,PA,<a href="https://www.heraldstandard.com/news/covid-19/cal-u-waynesburg-university-planning-for-in-person-fall-semesters/article_fa5bc326-9147-11ea-a1eb-1fdcec4ffea7.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Webster University,Private,MO,<a href="http://news.webster.edu/global/2020/transition-plans-fall-term-task-force.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wellesley College,Private,MA,<a href="https://blogs.wellesley.edu/announcements/2020/05/04/fall-planning-update/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Wentworth Institute of Technology,Private,MA,<a href="https://www.wbur.org/edify/2020/05/01/gap-year-requests" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Wesley College,Private,DE,<a href="https://wesley.edu/coronavirus-covid-19-information" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
West Chester University,Public,PA,<a href="https://www.wcupa.edu/fall2020/default.aspx" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
West Liberty University,Public,WV,<a href="https://westliberty.edu/news/news/alumni/wlu-announces-plans-for-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
West Valley College,Public,CA,<a href="https://www.westvalley.edu/covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
West Virginia University,Public,WV,<a href="https://www.wvu.edu/return-to-campus/what-you-need-to-know" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
West Virginia Wesleyan College,Private,WV,<a href="https://www.wvwc.edu/wp-content/uploads/2020/05/COVID-19-Letter-to-Campus-Community-5-14-20.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Western Colorado University,Public,CO,<a href="https://www.western.edu/resources-and-updates-related-covid-19-coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Western Connecticut State University,Public,CT,<a href="https://www.wcsu.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Western Michigan University,Public,MI,<a href="https://wmich.edu/covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Western Nevada College,Public,NV,<a href="https://www.wnc.edu/covid-19/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Western New England University,Private,MA,<a href="https://www1.wne.edu/news/2020/05/plan-to-resume-classes-fall-2020.cfm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Western Washington University,Public,WA,<a href="https://admissions.wwu.edu/covid-19-faq" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Westminster College,Private,MO,<a href="https://news.westminster-mo.edu/news-releases/westminster-college-confident-that-fall-2020-in-person-classes-will-take-place/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
#REF!,#REF!,#REF!,#REF!
Westminster College (Penn.),Private,PA,<a href="https://www.westminster.edu/about/news/release.cfm?id=9956" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Westminster College (Utah),Private,UT,<a href="https://westminstercollege.edu/about/news/news-post/2020/05/26/westminster-college-to-hold-classes-on-campus-in-august" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wheaton College (Ill.),Private ,IL,<a href="https://www.wheaton.edu/life-at-wheaton/student-development-offices/student-health/student-health-services/covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wheaton College (Mass.),Private,MA,<a href="https://wheatoncollege.blog/on-campus-announcements/president/update-on-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Whitworth University,Private,WA,<a href="https://www.whitworth.edu/cms/administration/health-and-counseling-services/health-center/coronavirus-information/plans-to-reopen-and-resume-classes-april-28-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wichita State University,Public,KS,<a href="https://wichita.edu/about/COVID-19/shockers_united/index.php" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Widener University,Private,PA,<a href="https://www.widener.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Wilkes University,Private,PA,<a href="https://www.wilkes.edu/about-wilkes/offices-and-administration/office-of-risk-management-and-compliance/cvirus_info.aspxx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wilkes University,Private,PA,<a href="https://m.citizensvoice.com/news/wilkes-king-s-set-plans-for-in-person-classes-1.2635688" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Willamette University,Private,OR,<a href="https://willamette.edu/news/library/2020/04/message-to-prospective-students.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
William Jessup University,Private,CA,<a href="https://jessup.edu/coronavirus-information/forward-together/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
William Jewell College,Private,MO,<a href="https://www.jewell.edu/news-events/intention-to-open-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Williams Baptist University,Private,AR,<a href="https://www.youtube.com/watch?v=eouUsdg3Zsg&amp;feature=youtu.be" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Williams College,Private,MA,<a href="https://president.williams.edu/writings-and-remarks/letters-from-the-president/timeline-and-process-for-deciding-about-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Winona State University,Public,MN,<a href="https://www.winona.edu/emergency/health-alert.asp" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Winston-Salem State University,Public,NC,<a href="https://www.wssu.edu/about/road-map-to-fall-2020/index.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Winthrop University,Public,SC,<a href="https://www.winthrop.edu/news-events/winthrop-to-forego-fall-break-move-to-remote-instruction-following-thanksgiving-break.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wittenberg University,Private,OH,<a href="https://www.wittenberg.edu/administration/president/message-regarding-fall-return" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Wofford College,Private,SC,<a href="https://www.wofford.edu/Wofford.edu/Documents/About/News/student-parent-qa.pdf" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Worcester Polytechnic Institute,Private,MA,<a href="https://www.wpi.edu/news/coronavirus/faqs#campus-operations-and-contingency-planning" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Worcester State University,Public,MA,<a href="https://www.worcester.edu/Public-Health-Information/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Wright State Unviersity,Public,OH,<a href="https://www.wright.edu/residence-life-and-housing" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Xavier University,Private,OH,<a href="https://www.xavier.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Xavier University of Louisiana,Private,LA,<a href="https://xula.edu/xavier-university-fall-return" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Yale University,Private,CT,<a href="https://yaledailynews.com/blog/2020/04/22/yale-to-announce-fall-plans-by-july/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Yeshiva University,Private,NY,<a href="https://www.yu.edu/covid-19-info/updates#_ga=2.90740313.275912632.1589690605-1213317628.1589690605" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
York College,Public,NY,<a href="https://krvn.com/regional-news/york-college-reopening-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
#REF!,#REF!,#REF!,#REF!
York College of Pennsylvania,Private,PA,<a href="https://www.ycp.edu/about-us/offices-and-departments/communications/coronavirus/fall-plan//" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
